************* 开始测试，时间：2021-05-13 10:55:26.556 *************
************* 结束测试，时间：2021-05-13 10:57:41.702 *************

************* 开始测试，时间：2021-05-13 10:58:26.062 *************
2021-05-13 10:58:31.426：位置向量的角度：83.34	小车朝向角度：1.29089	Action：左转
2021-05-13 10:58:32.154：位置向量的角度：352.12	小车朝向角度：29.90479	Action：右转
2021-05-13 10:58:32.872：位置向量的角度：352.12	小车朝向角度：26.85608	Action：右转
2021-05-13 10:58:33.588：位置向量的角度：352.12	小车朝向角度：336.60461	Action：直接向前走
2021-05-13 10:58:34.304：位置向量的角度：352.12	小车朝向角度：340.05980999999997	Action：直接向前走
2021-05-13 10:58:35.022：位置向量的角度：352.12	小车朝向角度：336.78589	Action：直接向前走
2021-05-13 10:58:35.740：位置向量的角度：352.12	小车朝向角度：339.44458	Action：直接向前走
2021-05-13 10:58:36.462：位置向量的角度：352.12	小车朝向角度：339.46655	Action：直接向前走
2021-05-13 10:58:37.171：位置向量的角度：352.12	小车朝向角度：341.89453	Action：直接向前走
2021-05-13 10:58:37.904：位置向量的角度：352.12	小车朝向角度：342.26257	Action：直接向前走
2021-05-13 10:58:38.620：位置向量的角度：351.15	小车朝向角度：342.76245	Action：直接向前走
2021-05-13 10:58:39.354：位置向量的角度：351.15	小车朝向角度：345.54199	Action：直接向前走
2021-05-13 10:58:40.071：位置向量的角度：351.15	小车朝向角度：349.54102	Action：直接向前走
2021-05-13 10:58:40.787：位置向量的角度：351.15	小车朝向角度：351.2439	Action：直接向前走
2021-05-13 10:58:41.505：位置向量的角度：351.15	小车朝向角度：349.91455	Action：直接向前走
2021-05-13 10:58:42.213：位置向量的角度：351.15	小车朝向角度：352.15027	Action：直接向前走
2021-05-13 10:58:42.938：位置向量的角度：351.15	小车朝向角度：353.15002	Action：直接向前走
2021-05-13 10:58:43.647：位置向量的角度：350.0	小车朝向角度：356.92932	Action：直接向前走
2021-05-13 10:58:44.371：位置向量的角度：350.0	小车朝向角度：357.35779	Action：直接向前走
2021-05-13 10:58:45.090：位置向量的角度：350.0	小车朝向角度：359.90662	Action：直接向前走
2021-05-13 10:58:45.822：位置向量的角度：350.0	小车朝向角度：2.79602	Action：直接向前走
2021-05-13 10:58:46.554：位置向量的角度：350.0	小车朝向角度：3.40576	Action：直接向前走
2021-05-13 10:58:47.263：位置向量的角度：350.0	小车朝向角度：7.00378	Action：直接向前走
2021-05-13 10:58:47.980：位置向量的角度：348.46	小车朝向角度：6.32812	Action：直接向前走
2021-05-13 10:58:48.705：位置向量的角度：348.46	小车朝向角度：9.42078	Action：直接向前走
2021-05-13 10:58:49.413：位置向量的角度：348.46	小车朝向角度：7.95959	Action：直接向前走
2021-05-13 10:58:50.121：位置向量的角度：348.46	小车朝向角度：10.45349	Action：直接向前走
2021-05-13 10:58:50.844：位置向量的角度：348.46	小车朝向角度：11.70044	Action：直接向前走
2021-05-13 10:58:51.563：位置向量的角度：346.33	小车朝向角度：13.99109	Action：直接向前走
2021-05-13 10:58:52.288：位置向量的角度：346.33	小车朝向角度：17.07825	Action：右转
2021-05-13 10:58:53.013：位置向量的角度：346.33	小车朝向角度：350.80994	Action：直接向前走
2021-05-13 10:58:53.730：位置向量的角度：346.33	小车朝向角度：352.71057	Action：直接向前走
2021-05-13 10:58:54.455：位置向量的角度：346.33	小车朝向角度：352.15576	Action：直接向前走
2021-05-13 10:58:55.171：位置向量的角度：346.33	小车朝向角度：355.38025	Action：直接向前走
2021-05-13 10:58:55.889：位置向量的角度：343.25	小车朝向角度：356.90735	Action：直接向前走
2021-05-13 10:58:56.612：位置向量的角度：343.25	小车朝向角度：358.37402	Action：直接向前走
2021-05-13 10:58:57.338：位置向量的角度：343.25	小车朝向角度：359.42322	Action：直接向前走
2021-05-13 10:58:58.064：位置向量的角度：343.25	小车朝向角度：0.6427	Action：直接向前走
2021-05-13 10:58:58.780：位置向量的角度：343.25	小车朝向角度：2.86743	Action：直接向前走
************* 结束测试，时间：2021-05-13 10:58:59.300 *************

************* 开始测试，时间：2021-05-13 10:59:45.774 *************
2021-05-13 10:59:51.815：位置向量的角度：83.34	小车朝向角度：312.41272	Action：原地左转
2021-05-13 10:59:52.540：位置向量的角度：13.86	小车朝向角度：14.90845	Action：直接向前走
2021-05-13 10:59:53.257：位置向量的角度：13.86	小车朝向角度：16.48499	Action：直接向前走
2021-05-13 10:59:54.006：位置向量的角度：13.86	小车朝向角度：15.15015	Action：直接向前走
2021-05-13 10:59:54.723：位置向量的角度：13.86	小车朝向角度：15.77637	Action：直接向前走
